Anatase
Wavelength = 1.54059
10.017	125.44
10.07	125.44
10.123	121.00
10.176	118.81
10.229	127.69
10.282	136.89
10.335	123.21
10.388	112.36
10.441	114.49
10.494	123.21
10.547	123.21
10.6	127.69
10.653	129.96
10.706	116.64
10.759	98.01
10.812	98.01
10.865	100.00
10.918	112.36
10.971	125.44
11.024	121.00
11.077	116.64
11.13	121.00
11.183	129.96
11.236	125.44
11.289	108.16
11.342	102.01
11.395	102.01
11.448	96.04
11.501	112.36
11.554	110.25
11.607	96.04
11.66	98.01
11.713	106.09
11.766	98.01
11.819	106.09
11.872	102.01
11.925	96.04
11.978	96.04
12.031	104.04
12.084	98.01
12.137	104.04
12.19	100.00
12.243	100.00
12.296	106.09
12.349	116.64
12.402	118.81
12.455	102.01
12.508	102.01
12.561	96.04
12.614	96.04
12.667	104.04
12.72	88.36
12.773	94.09
12.826	92.16
12.879	88.36
12.932	92.16
12.985	86.49
13.038	88.36
13.091	88.36
13.144	88.36
13.197	70.56
13.25	82.81
13.303	98.01
13.356	73.96
13.409	68.89
13.462	67.24
13.515	79.21
13.568	70.56
13.621	72.25
13.674	77.44
13.727	65.61
13.78	82.81
13.833	73.96
13.886	72.25
13.939	65.61
13.992	70.56
14.045	65.61
14.098	72.25
14.151	68.89
14.204	57.76
14.257	62.41
14.31	60.84
14.363	67.24
14.416	67.24
14.469	65.61
14.522	62.41
14.575	73.96
14.628	96.04
14.681	56.25
14.734	65.61
14.787	70.56
14.84	54.76
14.893	62.41
14.946	57.76
14.999	56.25
15.052	67.24
15.105	59.29
15.158	70.56
15.211	64.00
15.264	67.24
15.317	70.56
15.37	64.00
15.423	57.76
15.476	56.25
15.529	62.41
15.582	57.76
15.635	59.29
15.688	51.84
15.741	54.76
15.794	50.41
15.847	49.00
15.9	46.24
15.953	53.29
16.006	50.41
16.059	51.84
16.112	54.76
16.165	56.25
16.218	53.29
16.271	49.00
16.324	51.84
16.377	56.25
16.43	60.84
16.483	57.76
16.536	57.76
16.589	53.29
16.642	47.61
16.695	47.61
16.748	47.61
16.801	49.00
16.854	49.00
16.907	50.41
16.96	56.25
17.013	59.29
17.066	49.00
17.119	51.84
17.172	59.29
17.225	53.29
17.278	54.76
17.331	46.24
17.384	44.89
17.437	49.00
17.49	47.61
17.543	56.25
17.596	50.41
17.649	50.41
17.702	54.76
17.755	46.24
17.808	47.61
17.861	54.76
17.914	46.24
17.967	46.24
18.02	44.89
18.073	51.84
18.126	43.56
18.179	42.25
18.232	44.89
18.285	34.81
18.338	42.25
18.391	43.56
18.444	40.96
18.497	47.61
18.55	42.25
18.603	46.24
18.656	36.00
18.709	53.29
18.762	38.44
18.815	43.56
18.868	43.56
18.921	36.00
18.974	42.25
19.027	49.00
19.08	33.64
19.133	44.89
19.186	51.84
19.239	40.96
19.292	47.61
19.345	44.89
19.398	43.56
19.451	47.61
19.504	47.61
19.557	40.96
19.61	38.44
19.663	37.21
19.716	37.21
19.769	43.56
19.822	43.56
19.875	30.25
19.928	39.69
19.981	28.09
20.034	46.24
20.087	33.64
20.14	34.81
20.193	37.21
20.246	31.36
20.299	36.00
20.352	51.84
20.405	40.96
20.458	31.36
20.511	36.00
20.564	33.64
20.617	36.00
20.67	28.09
20.723	37.21
20.776	38.44
20.829	34.81
20.882	39.69
20.935	36.00
20.988	27.04
21.041	29.16
21.094	34.81
21.147	30.25
21.2	29.16
21.253	43.56
21.306	36.00
21.359	36.00
21.412	34.81
21.465	32.49
21.518	30.25
21.571	33.64
21.624	29.16
21.677	29.16
21.73	31.36
21.783	36.00
21.836	38.44
21.889	34.81
21.942	32.49
21.995	33.64
22.048	37.21
22.101	31.36
22.154	27.04
22.207	22.09
22.26	27.04
22.313	32.49
22.366	29.16
22.419	28.09
22.472	29.16
22.525	32.49
22.578	31.36
22.631	37.21
22.684	42.25
22.737	36.00
22.79	29.16
22.843	31.36
22.896	31.36
22.949	31.36
23.002	30.25
23.055	31.36
23.108	33.64
23.161	32.49
23.214	28.09
23.267	31.36
23.32	33.64
23.373	34.81
23.426	38.44
23.479	43.56
23.532	53.29
23.585	42.25
23.638	39.69
23.691	44.89
23.744	43.56
23.797	40.96
23.85	46.24
23.903	44.89
23.956	47.61
24.009	49.00
24.062	54.76
24.115	53.29
24.168	53.29
24.221	51.84
24.274	54.76
24.327	79.21
24.38	72.25
24.433	79.21
24.486	84.64
24.539	88.36
24.592	102.01
24.645	116.64
24.698	153.76
24.751	166.41
24.804	204.49
24.857	234.09
24.91	278.89
24.963	400.00
25.016	547.56
25.069	750.76
25.122	985.96
25.175	1288.81
25.228	1428.84
25.281	1521.00
25.334	1339.56
25.387	1176.49
25.44	906.01
25.493	702.25
25.546	529.00
25.599	368.64
25.652	259.21
25.705	207.36
25.758	171.61
25.811	139.24
25.864	116.64
25.917	96.04
25.97	96.04
26.023	79.21
26.076	68.89
26.129	70.56
26.182	68.89
26.235	57.76
26.288	62.41
26.341	57.76
26.394	62.41
26.447	42.25
26.5	37.21
26.553	50.41
26.606	50.41
26.659	54.76
26.712	49.00
26.765	49.00
26.818	51.84
26.871	50.41
26.924	40.96
26.977	47.61
27.03	51.84
27.083	56.25
27.136	59.29
27.189	72.25
27.242	110.25
27.295	153.76
27.348	190.44
27.401	219.04
27.454	225.00
27.507	156.25
27.56	108.16
27.613	81.00
27.666	70.56
27.719	53.29
27.772	43.56
27.825	44.89
27.878	37.21
27.931	37.21
27.984	33.64
28.037	39.69
28.09	34.81
28.143	25.00
28.196	28.09
28.249	32.49
28.302	32.49
28.355	26.01
